path,type,size_mb,reason,delete_command
result/phase_next_junction_factory_20260514_024017/red_only_fix_candidate_151/fixed_tls_program.net.xml,file,135.85,obsolete intermediate result,"rm -f ""result/phase_next_junction_factory_20260514_024017/red_only_fix_candidate_151/fixed_tls_program.net.xml"""
result/phase_next_real_csv_generation_samples_20260514_104959/candidate_tls_creation_LINK_92227/generated.net.xml,file,135.21,sample CSV generation network,"rm -f ""result/phase_next_real_csv_generation_samples_20260514_104959/candidate_tls_creation_LINK_92227/generated.net.xml"""
result/phase_next_multi_crosswalk_recovery_20260514_015058/candidate_125895/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_multi_crosswalk_recovery_20260514_015058/candidate_125895/generated.net.xml"""
result/phase_next_119055_junction_tls_pilot_20260514_010647/119055_junction_tls_pilot_v6.net.xml,file,135.21,obsolete intermediate result,"rm -f ""result/phase_next_119055_junction_tls_pilot_20260514_010647/119055_junction_tls_pilot_v6.net.xml"""
result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_15197/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_15197/generated.net.xml"""
result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_6084/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_6084/generated.net.xml"""
result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_167173/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_167173/generated.net.xml"""
result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_8339/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_8339/generated.net.xml"""
result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_6210/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_6210/generated.net.xml"""
result/phase_next_junction_factory_20260514_024017/red_only_fix_candidate_151/original_generated.net.xml,file,135.21,119055 pilot/split/netedit artifact,"rm -f ""result/phase_next_junction_factory_20260514_024017/red_only_fix_candidate_151/original_generated.net.xml"""
result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_151/generated.net.xml,file,135.21,candidate-specific generated network,"rm -f ""result/phase_next_top20_crosswalk_recovery_20260514_021229/candidate_151/generated.net.xml"""
